accuracy,f1,precision,recall,training_time,n_estimators,max_depth,learning_rate
0.7546,0.7534,0.7562,0.7546,9.6198,200,4,0.1
0.7508,0.7504,0.7511,0.7508,8.9543,200,4,0.1
0.7639,0.7634,0.7646,0.7639,11.3638,200,4,0.1
0.8281,0.8283,0.8291,0.8281,7.8926,200,4,0.1
0.7639,0.7634,0.7646,0.7639,10.7137,200,4,0.1
0.7529,0.7539,0.7555,0.7529,10.1681,200,4,0.1
